R(C5,5)| 1 2 3  4  5  6   7   8   9   10   11   12   13  14  15 16|    
-------+----------------------------------------------------------+----
      0| 1 1 1  1                                                 |4   
      1|   1 1  1  1                                              |4   
      2|     1  2  2  1                                           |6   
      3|     1  3  4  4   1                                       |13  
      4|        2  6  8   3   1                                   |20  
      5|        1  5 13  10   2                                   |31  
      6|        1  5 19  27   9   1                               |62  
      7|           2 17  44  31   3                               |97  
      8|              9  52  75  16    1                          |153 
      9|              3  37 128  56    5                          |229 
     10|                 14 134 153   20    1                     |322 
     11|                  3  76 262   73    3                     |417 
     12|                  2  33 260  225   15    1                |536 
     13|                      9 140  433   64    2                |648 
     14|                      2  41  470  208    9                |730 
     15|                      1   7  274  486   38    1           |807 
     16|                      1       79  661  136    3           |880 
     17|                              13  448  359   13           |833 
     18|                               3  157  631   55   1       |847 
     19|                                   24  592  167   4       |787 
     20|                                       265  354  14       |633 
     21|                                        49  460  49   1   |559 
     22|                                         4  293 126   2   |425 
     23|                                             88 196   8   |292 
     24|                                             14 175  25  1|215 
     25|                                                 75  47  1|123 
     26|                                                 11  52  3|66  
     27|                                                  1  25  8|34  
     28|                                                      3  9|12  
     29|                                                         5|5   
     30|                                                         3|3   
-------+----------------------------------------------------------+----
       | 1 2 4 11 25 74 193 502 939 1596 2067 2086 1448 652 163 30|9793
