R(C4,7)| 1 2 3 4  5  6   7   8    9   10    11     12     13      14       15       16       17       18      19   20 21|         
-------+----------------------------------------------------------------------------------------------------------------+---------
      0| 1 1 1 1  1  1                                                                                                  |6        
      1|   1 1 1  1  1   1                                                                                              |6        
      2|     1 2  2  2   2   1                                                                                          |10       
      3|     1 3  4  5   5   4    1                                                                                     |23       
      4|       1  5  8   9   9    4    1                                                                                |37       
      5|          4 12  18  20   14    4     1                                                                          |73       
      6|          1 11  29  42   40   16     3      1                                                                   |143      
      7|             4  30  71   91   57    13      2                                                                   |268      
      8|                17  88  178  172    56      9      1                                                            |521      
      9|                 5  72  274  422   221     41      4                                                            |1039     
     10|                    31  289  805   737    183     19       1                                                    |2065     
     11|                     5  197 1135  1947    779     94       5                                                    |4162     
     12|                         74 1097  3861   2912    469      28        1                                           |8442     
     13|                         10  670  5405   8660   2221     151        5                                           |17122    
     14|                             222  5046  18943   9455     826       29        1                                  |34522    
     15|                              34  2965  28496  32805    4367      163        5                                  |68835    
     16|                               2   971  27902  84467   21211      920       23        1                         |135497   
     17|                                   146  16897 148686   87187     5218      116        3                         |258253   
     18|                                    11   5831 168441  277608    27740      644       11        1                |480287   
     19|                                         1013 116266  622072   130043     3602       51        1                |873048   
     20|                                           82  45788  904916   507036    19588      251        3                |1477664  
     21|                                            3   9434  801944  1513611    97521     1311       12                |2423836  
     22|                                                 916  406222  3119854   423964     6805       45                |3957806  
     23|                                                  39  108749  4033237  1543985    33476      198                |5719684  
     24|                                                   2   14039  3021620  4434855   149441      908                |7620865  
     25|                                                         818  1215627  9068568   585687     4045                |10874745 
     26|                                                          24   241075 11612126  1964782    16971                |13834978 
     27|                                                           1    21639  8299450  5448131    64462                |13833683 
     28|                                                                  851  3016205 11583843   219831                |14820730 
     29|                                                                   22   511367 16465694   672324       1        |17649408 
     30|                                                                    2    37318 13277929  1813931      18        |15129198 
     31|                                                                          1167  5287770  4096321     233        |9385491  
     32|                                                                            26   938464  6953952    2399        |7894841  
     33|                                                                             2    68369  7533349   17474        |7619194  
     34|                                                                                   2018  4275886   83786        |4361690  
     35|                                                                                     35  1064229  261093        |1325357  
     36|                                                                                      1   102512  520551        |623064   
     37|                                                                                            3512  605219    1   |608732   
     38|                                                                                              53  328849   12   |328914   
     39|                                                                                               1   64919  126   |65046    
     40|                                                                                                    4132  999   |5131     
     41|                                                                                                     107 3611   |3718     
     42|                                                                                                       4 3762   |3766     
     43|                                                                                                          897   |897      
     44|                                                                                                           53   |53       
     45|                                                                                                            2  1|3        
     46|                                                                                                               2|2        
-------+----------------------------------------------------------------------------------------------------------------+---------
       | 1 2 4 8 18 44 116 343 1172 4637 21383 111754 619107 3250169 13838693 39070533 55814073 26822547 1888785 9463  3|141452855
